x                       y                        z                        a                        b                        c                        degX                     degY                     degZ                     mf.Bx (T)                mf.By (T)                mf.Bz (T)
90                        90                       0                        -70                      -70                      50                       0                        -90                      0                        2.658254473070356E-6     9.70268206543468E-6      -3.5022471032658756E-6
30                        90                       0                        -70                      -70                      50                       0                        -90                      0                        -2.8675169000788494E-6   1.4212081299810077E-5    -4.910693074508502E-6
-30                       90                       0                        -70                      -70                      50                       0                        -90                      0                        -1.4320689495440348E-5   1.1185308060459976E-5    -3.7363663794144096E-6
-90                       90                       0                        -70                      -70                      50                       0                        -90                      0                        -1.7264086145924E-5      -5.02979923404751E-6     1.6543657126830388E-6
90                        30                       0                        -70                      -70                      50                       0                        -90                      0                        1.1338497934337648E-5    1.4304787391647486E-5    -7.858786865309555E-6
30                        30                       0                        -70                      -70                      50                       0                        -90                      0                        5.90068162031432E-6      3.2758719902169236E-5    -1.7270417643311376E-5
-30                       30                       0                        -70                      -70                      50                       0                        -90                      0                        -3.00031731979226E-5     4.560535033087162E-5     -2.308747697657112E-5
-90                       30                       0                        -70                      -70                      50                       0                        -90                      0                        -4.954052137583125E-5    -2.3001608900733876E-5   9.600379550896371E-6
90                        -30                      0                        -70                      -70                      50                       0                        -90                      0                        2.517160819685862E-5     9.26795707306583E-6      -1.4017057838667922E-5
30                        -30                      0                        -70                      -70                      50                       0                        -90                      0                        5.22172683514397E-5      3.810802212927711E-5     -5.853482098761615E-5
-30                       -30                      0                        -70                      -70                      50                       0                        -90                      0                        -6.0918877713673526E-5   1.3682825505788494E-4    -1.9522076007768684E-4
-90                       -30                      0                        -70                      -70                      50                       0                        -90                      0                        -1.857873353618419E-4    -1.195738391775098E-4    1.518722007725409E-4
90                        -90                      0                        -70                      -70                      50                       0                        -90                      0                        2.8709672853318112E-5    -6.086811979292271E-6    -1.609457547994686E-5
30                        -90                      0                        -70                      -70                      50                       0                        -90                      0                        7.279238728214848E-5     -2.6377274926382917E-5   -7.256246415999061E-5
